City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Carutapera,BR,75.27,-1.195,-46.02,Lidera
5,Carnarvon,AU,84.27,-24.8667,113.6333,Hospitality Carnarvon
12,Rikitea,PF,76.69,-23.1203,-134.9692,People ThankYou
15,Butaritari,KI,81.54,3.0707,172.7902,Isles Sunset Lodge
24,Bandarbeyla,SO,91.96,9.4942,50.8122,JABIR HOTEL
26,Kidal,ML,87.49,18.4411,1.4078,
38,Yambio,SS,85.86,4.5721,28.3955,Naivasha Hotel
39,Kawalu,ID,81.25,-7.3817,108.2082,West Jontor
45,Touros,BR,77.45,-5.1989,-35.4608,INN NEW HORIZON
54,Gigmoto,PH,82.74,13.7796,124.39,Cj's Travellers Inn
55,Dakoro,NE,98.55,14.5106,6.765,Shagon mai liverpool
57,Tautira,PF,79.66,-17.7333,-149.15,Pension Oaoa
64,Phayuha Khiri,TH,86.97,15.4553,100.1353,Country Lake Nature Lodge
67,Kavaratti,IN,85.1,10.5669,72.642,Hotels in Lakshadweep Islands
68,Port Blair,IN,89.64,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
70,Mudgal,IN,99.59,16.0167,76.4333,Sri Mallikarjun Khanavali
71,Souillac,MU,82.78,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,Port Hedland,AU,89.65,-20.3167,118.5667,The Esplanade Hotel
74,Morondava,MG,83.73,-20.2833,44.2833,La Case Bambou
87,Bathsheba,BB,77.61,13.2167,-59.5167,Atlantis Hotel
90,Rudbar,AF,96.64,30.15,62.6,
94,Faanui,PF,81.03,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
96,Chauk,MM,92.86,20.8833,94.8167,Bo Khin Guest House
98,Ambanja,MG,85.14,-13.6833,48.45,Hotel Salama and Fast Food
102,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
105,Monrovia,LR,82.67,6.3005,-10.7969,Sunset Inn
108,Tecoanapa,MX,77.85,16.5167,-98.75,Hotel Manglares
113,Yarada,IN,95.32,17.65,83.2667,Yarada Jungle Beach Resorts
114,Luderitz,,84.25,-26.6481,15.1594,LÜDERITZ NEST HOTEL
116,Bengkulu,ID,84.9,-3.8004,102.2655,Grage Hotel Bengkulu
118,Kavieng,PG,83.52,-2.5744,150.7967,Nusa Island Retreat
120,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
121,Odweyne,SO,84.0,9.4092,45.064,Eng Hiirey House
126,Samarai,PG,81.84,-10.6167,150.6667,Nuli Sapi
127,San Patricio,US,78.89,28.017,-97.5169,"Motel 6 Sinton, TX"
134,Atuona,PF,78.33,-9.8,-139.0333,Villa Enata
135,Qom,IR,78.91,34.6401,50.8764,Qom Hotel
137,Hithadhoo,MV,85.5,-0.6,73.0833,Scoop Guest House
139,Cap Malheureux,MU,85.46,-19.9842,57.6142,Pereybere Hotel & Spa
142,Tabas,IR,84.83,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
144,Gat,IL,85.78,31.61,34.7642,OlusHome
147,Muscat,OM,94.51,23.6139,58.5922,Mutrah Hotel
149,Manokwari,ID,81.59,-0.8667,134.0833,Swiss Belhotel Manokwari
161,Namibe,AO,79.09,-15.1961,12.1522,Hotel Chik Chik Namibe
167,Alindao,CF,86.45,5.0267,21.2088,OCHA Alindao
170,Mount Isa,AU,80.37,-20.7333,139.5,ibis Styles Mt Isa Verona
177,Cayenne,GF,81.09,4.9333,-52.3333,Hôtel Le Dronmi
186,Harper,LR,84.27,4.375,-7.7169,Screensaver
195,Palembang,ID,89.69,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
197,Cabedelo,BR,78.48,-6.9811,-34.8339,Hotel Pigalle
199,Maningrida,AU,84.56,-12.0667,134.2667,Dhukurrdji Lodge
201,Mangai,CD,85.33,-4.05,19.5333,
202,Epe,NG,87.39,6.5841,3.9834,MAGVILLE HOTEL
210,Isangel,VU,79.02,-19.55,169.2667,Tanna Lodge
211,Saryg-Sep,RU,76.57,51.5,95.6,
214,Ambilobe,MG,89.71,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
216,Hami,CN,78.51,42.8,93.45,Laoyutang Resort
218,Pangkalanbuun,ID,83.91,-2.6833,111.6167,Grand Kecubung Hotel
219,Padang,ID,84.25,-0.9492,100.3543,Mercure Padang
220,Alofi,NU,81.14,-19.0595,-169.9187,Taloa Heights
223,Sassandra,CI,83.66,4.95,-6.0833,la terrasse
225,Muncar,ID,84.6,-8.4333,114.3333,Zaky Homestay
226,Vao,NC,75.54,-22.6667,167.4833,Hotel Kou-Bugny
228,Wukari,NG,87.87,7.85,9.7833,Elimtop
231,Korla,CN,78.84,41.7597,86.1469,Gulisitan Hotel
236,Chokwe,MZ,77.88,-24.5333,32.9833,Complexo Sonho Real
237,Luebo,CD,82.71,-5.35,21.4167,
240,Lahij,YE,95.49,13.1667,44.5833,
242,Kribi,CM,81.77,2.95,9.9167,La Grace Hôtel
243,Katherine,AU,91.72,-14.4667,132.2667,Pine Tree Motel
247,Bambous Virieux,MU,85.21,-20.3428,57.7575,Casa Tia Villa
248,Basco,PH,77.16,20.4487,121.9702,Nathaniel's Lodge
251,Agua Dulce,MX,77.63,18.1333,-94.1333,Hotel Victoria
256,Mumford,GH,83.88,5.2618,-0.759,Spanish Villa
257,Nguru,NG,98.67,12.8791,10.4526,Government Lodge
262,Hit,IQ,84.06,33.6416,42.8251,بيت ابو رباح
263,Yaan,NG,83.73,7.3833,8.5667,
269,Mahebourg,MU,85.24,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
270,Myitkyina,MM,94.42,25.3833,97.4,Shwe Phyu Hotel
272,Marsh Harbour,BS,75.18,26.5412,-77.0636,Abaco Beach Resort
277,Xuddur,SO,87.48,4.1213,43.8894,Banjanay Hotel
284,Petropavlovka,RU,81.18,50.6114,105.3196,Tuyaa
287,Mananjary,MG,79.99,-21.2167,48.3333,Vahiny Lodge
292,Kerman,IR,76.86,30.2832,57.0788,هتل آپارتمان آسام
298,Asyut,EG,96.82,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
304,Saint-Philippe,RE,83.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
310,Lorengau,PG,81.63,-2.0226,147.2712,Lorengau Harbourside Hotel
317,Gamboma,CG,83.8,-1.8764,15.8644,Residence N'Keni
320,Buraydah,SA,87.53,26.326,43.975,Mövenpick Qassim
321,Pokhara,NP,80.02,28.2333,83.9833,OYO 170 Hotel View Point
322,Sri Aman,MY,81.21,1.2376,111.4621,Seri Simanggang Hotel
324,Ayorou,NE,96.57,14.7308,0.9174,Hotel Amenokal
327,Riyadh,SA,92.35,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
333,Esna,EG,97.72,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
334,Dire Dawa,ET,87.75,9.5931,41.8661,Samrat Hotel
335,Jalu,LY,76.66,29.0331,21.5482,صاحبة الفخامة
337,Grand Gaube,MU,85.37,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
349,Zhangjiakou,CN,75.02,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
350,Meulaboh,ID,84.15,4.1363,96.1285,Kost Pria
351,Dingle,PH,85.91,10.9995,122.6711,SEGAYA PROPERTY
356,Salalah,OM,91.49,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
357,Nanning,CN,77.45,22.8167,108.3167,Nanning Travelling With Hostel
359,Iquitos,PE,77.04,-3.7481,-73.2472,Cortez Malaga Techy Caroly
367,Port Keats,AU,83.86,-14.25,129.55,TDC Village (Hundred Man Camp)
370,Panama City,PA,79.29,8.9936,-79.5197,Trump International Hotel & Tower Panama
371,Kailua,US,76.98,21.4022,-157.7394,Sheffield House Bed & Breakfast
372,Palmas Bellas,PA,79.25,9.2319,-80.0867,Antigua Residencia Galván
374,Wewak,PG,80.92,-3.5534,143.6268,In Wewak Boutique Hotel
376,Kyaikkami,MM,86.9,16.08,97.5675,St. joseph catholic church
380,Aswan,EG,99.0,24.0934,32.907,Nuba Nile
383,Dahanu,IN,88.65,19.9667,72.7333,Pearline Beach Villas
385,Georgetown,MY,87.73,5.4112,100.3354,Cititel Penang
387,Kudahuvadhoo,MV,85.35,2.6708,72.8944,Niyama Private Islands Maldives
388,Joshimath,IN,79.65,30.5667,79.5667,Shivalik Camps & Resort
389,Hisor,TJ,83.95,38.525,68.5512,Gostinitsa Usto Nabot
391,Qufu,CN,82.35,35.5967,116.9911,Qufu International Youth Hostel
392,Beya,RU,75.6,53.0533,90.9139,
404,Kampot,KH,87.85,10.6167,104.1833,Two Moons Hotel
406,Tabou,CI,84.63,4.423,-7.3528,hotêl doufoulougou
408,Najran,SA,90.19,17.4924,44.1277,محمد هادي ال فطيح
409,Dwarka,IN,89.42,22.2394,68.9678,Hotel Narayan Avezika Comfort
410,Sinnamary,GF,77.05,5.3833,-52.95,ALETHEIA Appartement Sinnamary
411,Bubaque,GW,77.61,11.2833,-15.8333,"Casa Dora, Bubaque"
414,Harnai,PK,98.22,30.1005,67.9374,Shah g hotel and restaurant
419,Umm Lajj,SA,83.23,25.0213,37.2685,Moon light Furnished Units
433,Kibala,TD,95.9,9.1104,18.3463,hotel safari
436,Arlit,NE,95.5,18.7369,7.3853,Case de Passage De la Prefecture
438,Champerico,GT,81.95,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
439,Atar,MR,89.58,20.5169,-13.0499,Oumou Elghoura
440,Darhan,MN,80.82,49.4867,105.9228,Buudai Hotel
441,Eyl,SO,94.55,7.9803,49.8164,Amiin Hotel
450,Namatanai,PG,81.27,-3.6667,152.4333,Seagulls Inn Namatani
455,Aksu,CN,79.52,41.1231,80.2644,Pudong Holiday Hotel
456,Banda Aceh,ID,85.64,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
461,Douentza,ML,92.39,14.9951,-2.9517,Ogomono Doumbo
462,Manaure,CO,80.44,11.7751,-72.4445,Hotel Palaaima
465,Mae Hong Son,TH,95.14,19.3003,97.9685,Baiyoke Chalet Hotel
477,Karratha,AU,90.1,-20.7377,116.8463,ibis Styles Karratha
480,Lucapa,AO,75.87,-8.4192,20.7447,Residência Ulisses Dos Santos
481,Houston,US,76.3,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
482,Soyo,AO,82.54,-6.1349,12.3689,Hotel Mpampa
487,Batticaloa,LK,88.93,7.7102,81.6924,Grand Star Guest House
496,Tombouctou,ML,82.56,20.0,-3.0,
500,Ambunti,PG,77.97,-4.2365,142.8448,AMBUNTI HIDE INN
509,Palasa,IN,92.03,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
515,Mocuba,MZ,76.39,-16.8392,36.9856,Phama Lodge
516,Chhatak,BD,88.11,25.0333,91.6667,Hotel Sadi Internationl
518,Mogadishu,SO,85.06,2.0371,45.3438,Hotel Juba
522,Diebougou,BF,94.03,10.9667,-3.25,Hotel Le Consulat
527,Kununurra,AU,85.98,-15.7667,128.7333,Hotel Kununurra
531,Faya,SA,79.32,18.3851,42.4509,املاك خالد الشعشوع
538,Daru,PG,80.29,-9.0763,143.2092,Daru Lodge
542,Celestun,MX,75.85,20.8667,-90.4,Posada Lilia
543,Kisumu,KE,76.8,-0.1022,34.7617,Kisumu Hostel
556,Huoqiu,CN,79.86,32.3394,116.2694,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
573,Minna,NG,88.29,9.6139,6.5569,Royal Park hotel & suites
578,Metro,ID,84.34,-5.1131,105.3067,OYO 3177 Wisma Lintang
